id,name,address,price,type1,type2,type3,type4,region,avg_price,simp_type,Districts,lon,lat,telephone
113,Gold Rice Bowl Restaurant,"Shop 308, 3/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",Below $50,Hong Kong Style,,,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.200586,22.348177,1271-8705
114,Hei Hei Restaurant,"Shop 615-617, 6/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street , Tsz Wan Shan",Below $50,Hong Kong Style,Tea Restaurant,,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.200586,22.348177,9899-9505
115,Tai Cheung Restaurant,"G/F, 22G Yuk Wah Crescent,, Tsz Wan Shan",Below $50,Hong Kong Style,Takeaway,Tea Restaurant,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.2025739,22.3465844,3834-8029
116,Tezukuri No Mise,"Shop MM02, 5/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street , Tsz Wan Shan",Below $50,Japanese,Ice Cream/yogurt,,,Tsz Wan Shan,40,Asian,Wong Tai Sin,114.200586,22.348177,1486-2472
117,Maxim's Cake Shop,"Shop 101 & 102, 1/F, Tsz Wan Shan Centre, 23 Yuk Wah Street, Tsz Wan Shan",Below $50,Hong Kong Style,Bakery,,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,144.9404893,-37.8409565,3368-6413
118,Yoshinoya,"Shop 314-315, 3/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street , Tsz Wan Shan",$51-$100,Japanese,Fast Food,,,Tsz Wan Shan,75,Asian,Wong Tai Sin,114.200586,22.348177,7421-7524
119,Yeh Lam Kok Restaurant,"Shop 524-527, 5/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",$51-$100,International,Western Restaurant,,,Tsz Wan Shan,75,International,Wong Tai Sin,114.200586,22.348177,5489-3162
120,McDonald's,"Shop 333, Tsz Wan Shan Centre, 23 Yuk Wah Street, Tsz Wan Shan",Below $50,American,Hamburger,Fast Food,,Tsz Wan Shan,40,Western,Wong Tai Sin,114.200586,22.348177,4029-8837
121,Thai Kitchen,"Shop 4, G/F, 18 Yuk Wah Crescent, Tsz Wan Shan",Below $50,Thai,Tea Restaurant,,,Tsz Wan Shan,40,Asian,Wong Tai Sin,114.2021505,22.3465295,6366-8536
122,Power Chef,"Shop A, G/F, 2 Koon Wah Lane,Yuk Wah Street, Tsz Wan Shan, Tsz Wan Shan",Below $50,Thai,Curry,Skewer,Snack Shop & Deli,Tsz Wan Shan,40,Asian,Wong Tai Sin,114.200412,22.3515518,8526-6836
123,Sushi Take Out,"Shop 332, 3/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",Below $50,Japanese,Sushi/Sashimi,Takeaway,,Tsz Wan Shan,40,Asian,Wong Tai Sin,114.200586,22.348177,7587-3749
124,Bao Dim Sin Seng,"Shop 201 , 2/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street , Tsz Wan Shan",Below $50,Hong Kong Style,Chinese Buns,Meatless Menu,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.200586,22.348177,1719-3967
125,Gong Cha,"Shop 322, 3/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",Below $50,Taiwan,Taiwanese Drink,Takeaway,,Tsz Wan Shan,40,Chinese,Wong Tai Sin,114.200586,22.348177,7252-7958
126,Sunrise Restaurant,"Shop 508, 5/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",Below $50,Western,Ramen,Teppanyaki,Western Restaurant,Tsz Wan Shan,40,Western,Wong Tai Sin,114.200586,22.348177,3902-1279
127,Wing Kee Restaurant,"Shop A & B, G/F, 12 Yuk Wah Crescent,, Tsz Wan Shan",Below $50,Hong Kong Style,Takeaway,Tea Restaurant,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,-95.7389168,29.99504,6134-1704
128,Honorary Family,"Shop 410, 4/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street , Tsz Wan Shan",$51-$100,Guangdong,Dim Sum,Dim Sum Restaurant,,Tsz Wan Shan,75,Hong Kong,Wong Tai Sin,114.200586,22.348177,5303-0700
129,Happy Fruit Garden,"Shop E1, G/F, Ka Wah Bldg ,Yuk Wah Crescent, Tsz Wan Shan",Below $50,Taiwan,Taiwanese Drink,,,Tsz Wan Shan,40,Chinese,Wong Tai Sin,114.202022,22.346718,1846-3888
130,Kentucky Fried Chicken,"Shop No.408, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",Below $50,American,Fast Food,,,Tsz Wan Shan,40,Western,Wong Tai Sin,114.200586,22.348177,3677-1818
131,Red Rice Red Rice,"G/F, 12-14 Yuk Wah Cres, Tsz Wan Shan",Below $50,Hong Kong Style,Noodles/Rice Noodles,Tea Restaurant,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.2013903,22.3466291,5684-2317
132,Fairwood,"Shop 317B, 3/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",Below $50,Hong Kong Style,Fast Food,,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.200586,22.348177,2935-9396
133,BBQ,"Shop A, 28 Yuk Wah Crescent, Tsz Wan Shan",Below $50,Thai,Skewer,Upper-floor Cafe,Skewer,Tsz Wan Shan,40,Asian,Wong Tai Sin,114.2028185,22.346899,3594-3080
134,Chiu Kong,"Shop 44, Tsz Wan Shan Market, 2/F Tsz Wan Shan Shopping Centre, Tsz Wan Shan",Below $50,Chiu Chow,,,,Tsz Wan Shan,40,Chinese,Wong Tai Sin,114.200412,22.3515518,7573-3480
135,Ajisen Ramen,"Shop501-502, 5/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",$51-$100,Japanese,Ramen,,,Tsz Wan Shan,75,Asian,Wong Tai Sin,114.200586,22.348177,5373-7818
136,Saint Honore Cake Shop,"Shop 329, 3/F, Tsz Wan Shan Shopping Centre, 23 Yu__Wah Street, Tsz Wan Shan",Below $50,Hong Kong Style,Bakery,,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.200412,22.3515518,5160-4865
137,Hung Fook Tong,"Shop 409, 4/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street , Tsz Wan Shan",Below $50,Guangdong,Herbal Tea,Herbal Cuisine,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.200586,22.348177,4232-7933
138,Wo Mei Ka (Nice Capital Restaurant Group)(),"Shop 2, Phase1,Tsz Ching Commercial Complex, Tsz Wan Shan",Below $50,Hong Kong Style,Chinese BBQ,,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.200412,22.3515518,3262-8764
139,First Edible Nest,"Shop 541, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street., Tsz Wan Shan",$101-$200,Guangdong,Dessert,Fine Dried Seafood,,Tsz Wan Shan,300,Hong Kong,Wong Tai Sin,114.200586,22.348177,1049-0503
140,Docle,"G/F, Che Cheung Building, 16 Yuk Wah Cres, Tsz Wan Shan",Below $50,Western,Dessert,Cake,Takeaway,Tsz Wan Shan,40,Western,Wong Tai Sin,114.2017925,22.3464805,6641-2475
141,Prime Deli,"Shop B, G/F, The Forest Hills, 99 Po Kong Village Road, Tsz Wan Shan",$51-$100,Hong Kong Style,Tea Restaurant,,,Tsz Wan Shan,75,Hong Kong,Wong Tai Sin,114.1990825,22.3455714,8120-5661
142,Mini Cafe,"G/F, 3 Tsz Wah Lane, Tsz Wan Shan",Below $50,Western,Cake,Coffee Shop,,Tsz Wan Shan,40,Western,Wong Tai Sin,114.2015271,22.3471426,3420-9715
143,Jenny Bakery,"Shop A, G/F, 54 Yuk Wah Street, Tsz Wan Shan",Below $50,Hong Kong Style,Bakery,,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.2016938,22.3472302,2975-5786
144,Wing Kee Cafe,"G/F, 29 Yuk Wah Crescent,, Tsz Wan Shan",Below $50,Hong Kong Style,Tea Restaurant,,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.201389,22.3466638,4052-2232
145,Tokyo Bakery,"Shop 311, 3/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",Below $50,Hong Kong Style,Bakery,,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.200586,22.348177,4627-1669
146,Aji Ichiban,"Shop 528-530, 5/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",Below $50,Hong Kong Style,Snack Shop & Deli,,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.200586,22.348177,9819-2284
147,PHD,"Shop no.331,3/F,Tsz Wan Shan Shopping Center,23 Yuk Wah St, Tsz Wan Shan",$51-$100,Italian,Pizza,Takeaway,,Tsz Wan Shan,75,Western,Wong Tai Sin,114.200586,22.348177,2989-7125
148,Kam Fung Fast Food,"Shop B, 45 Yuk Wah Crescent,, Tsz Wan Shan",Below $50,Hong Kong Style,Takeaway,Tea Restaurant,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.2018825,22.3467177,9397-0834
149,A+,"Shop 4, Che Cheung Building, Yuk Wah Crescent, Tsz Wan Shan",Below $50,Hong Kong Style,Skewer,Snack Shop & Deli,Skewer,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.202022,22.346718,6650-1917
150,Nice Capital Restaurant,"Shop 707-709, 7/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",$51-$100,Guangdong,Dim Sum,Dim Sum Restaurant,,Tsz Wan Shan,75,Hong Kong,Wong Tai Sin,114.200586,22.348177,7924-5345
151,Cafde Coral,"Shop 511, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street (Tsz Wan Shan), Tsz Wan Shan",Below $50,Hong Kong Style,Meatless Menu,Fast Food,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.200412,22.3515518,1062-8193
152,Ka Fung Restaurant,"G/F, 53 Yuk Wah Crescent, Tsz Wan Shan",Below $50,Hong Kong Style,Noodles/Rice Noodles,Tea Restaurant,,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.2022279,22.3467622,2717-9207
153,McDonald's,"G/F, 68 Yuk Wah Street,, Tsz Wan Shan",Below $50,American,Hamburger,Fast Food,,Tsz Wan Shan,40,Western,Wong Tai Sin,114.202361,22.347007,8738-5991
154,Akayama,"Shop C38, 2/F, San Po Kong Plaza, Shung Ling Street, San Po Kong",$201-$400,Japanese,All-you-can-eat,,,San Po Kong,150,Asian,Wong Tai Sin,114.1956875,22.3351996,5497-7818
155,Antoshimo Cafe & Bakery,"Shop, G05B, Mikiki Mall, No. 638, Prince Edward Road East, San Po Kong",Below $50,Japanese,Bakery,Coffee Shop,,San Po Kong,40,Asian,Wong Tai Sin,114.1968622,22.3335547,8839-1114
156,Gelare,"Shop G02A, G/F, Mikiki, 638 Prince Edward Road East, San Po Kong",Below $50,Australian,Dessert,Ice Cream/yogurt,,San Po Kong,40,Western,Wong Tai Sin,114.1968622,22.3335547,1289-3372
157,Tak Lung Restaurant,"G/F, 25-29 Hong Keung Street, San Po Kong",$101-$200,Guangdong,Dim Sum,Stir-Fry,Group Dining,San Po Kong,300,Hong Kong,Wong Tai Sin,114.197335,22.3347577,9228-6317
158,eatstreet@pentalounge,"1/F., pentahotel Hong Kong, Kowloon, 19 Luk Hop Street, San Po Kong",$201-$400,International,Buffet,Hotel Restaurant,,San Po Kong,150,International,Wong Tai Sin,114.1996635,22.3373249,8083-6737
159,Ying Kee,"G/F, Shop 10, Hong Keung Mansion, 32-34 Hong Keung, San Po Kong",Below $50,Hong Kong Style,Noodles/Rice Noodles,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1989259,22.3364426,6394-9016
160,Delight,"G/F, 63 King Fuk Street, San Po Kong",Below $50,Western,All Day Breakfast,Coffee Shop,,San Po Kong,40,Western,Wong Tai Sin,114.196952,22.334275,7320-1906
161,Red Rice Red Rice,"Shop B, G/F, On Lung Factory Building, 11-13 Luk Hop Street, San Po Kong",Below $50,Hong Kong Style,Noodles/Rice Noodles,All Day Breakfast,Tea Restaurant,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1993984,22.337542,6199-1458
162,Val rie,"Room 1903, 19/F, Laurels Industrial Building, 32 Tai Yau Street, San Po Kong",Below $50,Western,Cake,Takeaway,,San Po Kong,40,Western,Wong Tai Sin,114.1975041,22.3370659,1498-4469
163,Houston Restaurant & Cafe,"G/F, 50 Yan Oi Street, San Po Kong",$201-$400,Western,BBQ,Steak House,Western Restaurant,San Po Kong,150,Western,Wong Tai Sin,114.195379,22.3342848,5024-5314
164,HEITI'S House,"G/F, 48 Yan Oi Street, San Po Kong",$201-$400,Western,Western Restaurant,Group Dining,Special Occasion Dining,San Po Kong,150,Western,Wong Tai Sin,114.195147,22.33423,6734-7716
165,WoZi,"G/F, Yan Oi Street, San Po Kong",$51-$100,Western,Coffee Shop,,,San Po Kong,75,Western,Wong Tai Sin,114.1948975,22.3346289,8832-5951
166,California Pizza Kitchen,"Shop G12, G/F, Mikiki, The Latitude Tower, 638 Prince Edward Road East,, San Po Kong",$101-$200,American,Pizza,Western Restaurant,,San Po Kong,300,Western,Wong Tai Sin,114.1968622,22.3335547,7909-9316
167,Pho Hoi An PHO,"Shop no. 107, Mikiki Mall, No. 638, Prince Edward Road East, San Po Kong, Kowloon, San Po Kong",$51-$100,Vietnamese,,,,San Po Kong,75,Asian,Wong Tai Sin,114.1989259,22.3364426,6951-8676
168,pizzabar,"Lobby, pentahotel Hong Kong, Kowloon, 19 Luk Hop Street, San Po Kong",$201-$400,International,Pizza,Hotel Restaurant,,San Po Kong,150,International,Wong Tai Sin,114.1996635,22.3373249,8609-2504
169,Red Thai,"Shop 116, 1/F, Mikiki, The Latitude Tower, 638 Prince Edward Road East, San Po Kong",$101-$200,Thai,Singaporean,Pizza,Curry,San Po Kong,300,Asian,Wong Tai Sin,114.1968622,22.3335547,1283-1734
170,Dream Cafe 1986,"Shop A57A3, G/F, San Po Kong Plaza, 33 Yi Lun Street, San Po Kong",$51-$100,French,Western,Western Restaurant,Private Kitchen,San Po Kong,75,Western,Wong Tai Sin,114.1962845,22.3351954,7413-9393
171,Otanri Japanese restaurant,"Shop G25-27, G/F, Yue Xiu Plaza, Ning Yuen Street, San Po Kong",$101-$200,Japanese,Sushi/Sashimi,Sushi Bar,,San Po Kong,300,Asian,Wong Tai Sin,114.1955254,22.3340112,6614-7211
172,Dragon King Restaurant,"Shop 110, 1/F, Mikiki, The Latitude Tower, 638 Prince Edward Road East, San Po Kong",$101-$200,Guangdong,Dim Sum,Dim Sum Restaurant,,San Po Kong,300,Hong Kong,Wong Tai Sin,114.1968622,22.3335547,6265-2792
173,J&A; Cake Shop,"G/F., 18 Choi Hung Road, San Po Kong",Below $50,Western,Bakery,Takeaway,,San Po Kong,40,Western,Wong Tai Sin,114.1947829,22.3340829,1784-8093
174,Swiss Cafe,"G/F., Sheung Hei Factory Building, 19 Sheung Hei Street, San Po Kong",Below $50,Hong Kong Style,Tea Restaurant,Casual Drink,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1975595,22.3374534,9753-1361
175,Ruby Kitchen,"G/F, Yan Oi Building , 12 Yan Oi Street, San Po Kong",$101-$200,International,Western Restaurant,,,San Po Kong,300,International,Wong Tai Sin,114.1948425,22.334963,6167-0044
176,Sweet River Restauant,"Shop A, G/F, Wai shun Mansion, 50-58 Chuek Luk Street, San Po Kong",Below $50,Hong Kong Style,Tea Restaurant,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.2000152,22.3369076,8602-5014
177,MOS Burger,"Shop G08, G/F, Mikiki, 638 Prince Edward Road East, San Po Kong",Below $50,Japanese,Hamburger,Fast Food,,San Po Kong,40,Asian,Wong Tai Sin,114.1968622,22.3335547,4947-2357
178,BreakTime,"G/F., 79 King Fuk Street, San Po Kong",Below $50,Japanese,,,,San Po Kong,40,Asian,Wong Tai Sin,114.1974653,22.3343467,3689-2285
179,Hui Wei Che Zai Mian,"Shop 9, G/F, Hong Kueng Masion, 32-34 Hong Keung Street, San Po Kong",Below $50,Hong Kong Style,Food Stall Noodles,Snack Shop & Deli,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1963755,22.3347684,6023-6856
180,Le Cafe Place,"G03C, Mikki, 638 Prince Edward Road East, San Po Kong",$51-$100,Western,Western Restaurant,Coffee Shop,,San Po Kong,75,Western,Wong Tai Sin,114.1968622,22.3335547,4086-1179
181,Gourmet Dian Noodles Limited,"12, Kam Wing Street, San Po Kong",Below $50,Yunnan,Noodles/Rice Noodles,Stir-Fry,,San Po Kong,40,Chinese,Wong Tai Sin,114.195553,22.335849,4748-6008
182,Emoto Sushi,"Shop 8, G/F, Yan Oi Building, 2-24 Yan Oi Street, San Po Kong",$101-$200,Japanese,Robatayaki,Sushi/Sashimi,Skewer,San Po Kong,300,Asian,Wong Tai Sin,114.1948425,22.334963,6728-2026
183,King Fuk Restaurant,"G/F, 81 King Fuk Street, San Po Kong",Below $50,Hong Kong Style,Tea Restaurant,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1975033,22.334366,4114-0297
184,J & V Mini Kitchen,"G/F, 71 King Fuk Street, San Po Kong",Below $50,Western,,,,San Po Kong,40,Western,Wong Tai Sin,114.1973129,22.3342703,9419-2852
185,Riso SEGRETO,"Shop LG7A, G/F., Mikiki,The Latitude Tower, 638 Prince Edward Road East, San Po Kong",$101-$200,Italian,Western Restaurant,,,San Po Kong,300,Western,Wong Tai Sin,114.1968622,22.3335547,2650-9665
186,Starbucks Coffee,"Shop G01, G/F, Mikiki, The Latitude Tower, 638 Prince Edward Road East,, San Po Kong",Below $50,American,Salad,Coffee Shop,Casual Drink,San Po Kong,40,Western,Wong Tai Sin,114.1968622,22.3335547,1254-0673
187,Kwai Kee Chiu Chow restaurant,"Shop 12, G/F, 32 Hong Keung Street,, San Po Kong",$51-$100,Chiu Chow,Stir-Fry,,,San Po Kong,75,Chinese,Wong Tai Sin,114.196341,22.334789,5493-0800
188,So Kee Congee Shop,"G/F, 24 Kam Wing Street, San Po Kong",Below $50,Hong Kong Style,Congee,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1959285,22.3357134,3690-7328
189,Panash Bakery & Cafe,"Shop G11, G/F, Mikiki, The Latitude Tower, 638 Prince Edward Road East, San Po Kong",$101-$200,Western,Bakery,Western Restaurant,,San Po Kong,300,Western,Wong Tai Sin,114.1968622,22.3335547,5276-5333
190,Hai Nan Snack,"Shop K, 2D Yan Oi Street, San Po Kong",Below $50,Village Food,Noodles/Rice Noodles,Snack Shop & Deli,,San Po Kong,40,Chinese,Wong Tai Sin,114.1948425,22.334963,4543-1340
191,Candies Cafe,"Shop C1, G/F., Startex Industrial Building, 14 Tai Yau Street, San Po Kong",Below $50,Italian,Bakery,Coffee Shop,,San Po Kong,40,Western,Wong Tai Sin,114.1987634,22.3384066,6993-0627
192,Nichigyu Shabu Shabu & Sukiyaki Restaurant,"Shop 111, 1/F,  Mikiki, 638 Prince Edward Road East, San Po Kong",$101-$200,Japanese,Hot Pot,Buffet,,San Po Kong,300,Asian,Wong Tai Sin,114.1968622,22.3335547,3807-6210
193,Wing Fat Food Centre,"Shop A, G/F, Lee King Ind Bldg, 12 Ng Fong Street,, San Po Kong",Below $50,International,Tea Restaurant,,,San Po Kong,40,International,Wong Tai Sin,114.199901,22.337849,9010-3718
194,Lucullus Gourmet Shop,"Shop 1A, G/F, Mikiki of The Latitude, 638 Prince Edward Road East, San Po Kong",$51-$100,Western,Cake,Chocolate/Candy Shop,,San Po Kong,75,Western,Wong Tai Sin,114.1968622,22.3335547,9484-7479
195,Subway,"Shop G03B, G/F, Mikiki, 638 Prince Edward Road East, San Po Kong",Below $50,Western,Meatless Menu,Takeaway,Fast Food,San Po Kong,40,Western,Wong Tai Sin,114.1968622,22.3335547,6596-5345
196,Good Luck Restaurant,____________26-30______,Below $50,Hong Kong Style,Tea Restaurant,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1610574,22.4634821,5842-7195
197,Bar East Hot Pot,"Shop 16, G/F, Yin Hing Building, 74 Choi Hung Road, San Po Kong",$101-$200,Hong Kong Style,Hot Pot,,,San Po Kong,300,Hong Kong,Wong Tai Sin,114.1945346,22.3359732,6315-5273
198,Maxim's Cake Shop,"Shop G05A, Mikiki, 638 Prince Edward Road East, San Po Kong",Below $50,Hong Kong Style,Bakery,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1968622,22.3335547,6372-3025
199,Tsui Wah Restaurant,"G/F, 81-83 Shung Ling Street,, San Po Kong",$51-$100,Hong Kong Style,Meatless Menu,Tea Restaurant,Food Wise Eateries,San Po Kong,75,Hong Kong,Wong Tai Sin,114.1957117,22.3344862,1036-7074
200,GoodealMart,"Shop B, 1/F, Chung Kai Industrial Building, 9 Luk Hop Street,, San Po Kong",$101-$200,Seafood,Sushi/Sashimi,Takeaway,,San Po Kong,300,Others,Wong Tai Sin,114.1992386,22.3376471,8116-1323
201,Star Seafood Restaurant,"G/F-1/F,86 Tseuk Luk Street, San Po Kong",$101-$200,Guangdong,Dim Sum,Dim Sum Restaurant,,San Po Kong,300,Hong Kong,Wong Tai Sin,114.1972394,22.3350716,8203-7471
202,Kam Hoi Tong restaurant,"Shop 1 A, G/f, Wing Shing Ind Bldg, 26 Ng Fong Street,, San Po Kong",Below $50,Hong Kong Style,Tea Restaurant,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.200427,22.3375359,6697-8220
203,Hop Lee restaurant,"G/F, 26 Yin Hing St., San Po Kong",Below $50,International,Tea Restaurant,,,San Po Kong,40,International,Wong Tai Sin,114.1951312,22.3361686,6087-1202
204,Cheung Fai Seafood Restaurant,"4/F, Yue Xiu Plaza, 3-23 Ning Yuen Street, San Po Kong",$101-$200,Guangdong,Seafood,Dim Sum,Stir-Fry,San Po Kong,300,Hong Kong,Wong Tai Sin,114.1955949,22.3337886,4298-6011
205,Chubby's Pizza,"Shop No.1 G/F, Cheong Tai Bldg., No.83-97 King Fuk Street, San Po Kong",$51-$100,Italian,Pizza,Takeaway,Western Restaurant,San Po Kong,75,Western,Wong Tai Sin,114.19769,22.334609,7058-1848
206,Noble House,"G/F, 61 King Fuk Street, San Po Kong",$101-$200,International,Western Restaurant,,,San Po Kong,300,International,Wong Tai Sin,114.1970721,22.3341519,8863-8825
207,Fairwood,"Shop 757-764, G/F, Rhythm Garden, 242 Choi Hung Road, San Po Kong",Below $50,Hong Kong Style,Fast Food,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.202563,22.335692,3882-9663
208,Omakase,"G/F, 10 Yan Oi Street, San Po Kong",$101-$200,Japanese,Ramen,Skewer,Skewer,San Po Kong,300,Asian,Wong Tai Sin,114.1950056,22.3349604,9465-7404
209,King Bakery,"Shop 5, G/F, Winning Centre, 29 Tai Yau Street, San Po Kong",Below $50,Hong Kong Style,Bakery,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1982776,22.3371005,3975-7025
210,41B,____________7______,Below $50,Hong Kong Style,Tea Restaurant,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.2077145,22.3324395,3639-1078
211,B,"G/F, Choi Hung Road Market, 8 Sheung Hei Road, San Po Kong",Below $50,Hong Kong Style,Snack Shop & Deli,Cooked Food Center,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1970333,22.337276,9766-7437
212,Maison A+,"LG1-3 Yata Supermarket, Mikiki, 638 Prince Edward Rd East, San Po Kong",Below $50,Bakery,,,,San Po Kong,40,Others,Wong Tai Sin,114.1968622,22.3335547,6463-3111
213,Pizza Hut,"Shop 646-648 & 650, G/F, Rhythm Garden, 242 Choi Hung Road, San Po Kong",$101-$200,Italian,Pizza,Takeaway,Western Restaurant,San Po Kong,300,Western,Wong Tai Sin,-80.5839744,34.5133048,4232-1495
214,Rainbow Cafe,"G/F, 8 Choi Hung Road, San Po Kong",Below $50,Hong Kong Style,Noodles/Rice Noodles,Tea Restaurant,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1949929,22.3338616,3251-5445
215,Thai Good BBQ,"G/F, Yin Hing Street, San Po Kong",Below $50,Thai,BBQ,Skewer,Snack Shop & Deli,San Po Kong,40,Asian,Wong Tai Sin,114.1949955,22.3357099,1364-9373
216,Five Minute,"Shop E1, 34 Shung Ling Street, San Po Kong",Below $50,Hong Kong Style,Northeastern,BBQ,Skewer,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1957206,22.3352767,2012-1653
217,Hey Dim Sum,"Shop 875& 896, G/F, Rhythm Garden, 242 Choi Hung Road, San Po Kong",Below $50,Hong Kong Style,Takeaway,,,San Po Kong,40,Hong Kong,Wong Tai Sin,117.4002547,37.7690369,8514-7697
218,Aussie Cafe,"Shop 103, G/F, Rhythm Garden, 242 Choi Hung Road, San Po Kong",Below $50,Western,Western Restaurant,,,San Po Kong,40,Western,Wong Tai Sin,114.202563,22.335692,6377-1264
219,Ming Fai Kitchen,"G/F, 58 Yin Hing Street, San Po Kong",Below $50,Guangdong,Hong Kong Style,Stir-Fry,Tea Restaurant,San Po Kong,40,Hong Kong,Wong Tai Sin,114.194772,22.335718,4147-0962
220,Shun King Restaurant,"G/F, 23 Yin Hing St, San Po Kong",Below $50,Hong Kong Style,Tea Restaurant,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1949765,22.3356494,8499-8608
221,Karson's Kitchen,"Shop 10, G/F, Laurels Industrial Building, 32 Tai Yau Street, San Po Kong",Below $50,Vietnamese,Thai,Noodles/Rice Noodles,,San Po Kong,40,Asian,Wong Tai Sin,114.1975041,22.3370659,4052-7458
222,Hong Kong Taste,"32 hin hing street, San Po Kong",Below $50,Hong Kong Style,Seafood,Noodles/Rice Noodles,Tea Restaurant,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1949958,22.3355215,6262-4733
223,Open Fire,"Room A, 8/F, On Tat Industrial Building, 3-5 Pat Tat Steet, San Po Kong",$201-$400,Hong Kong Style,BBQ,BBQ Ground,,San Po Kong,150,Hong Kong,Wong Tai Sin,114.1986839,22.3368184,2968-7015
224,K & K,________________________31-33______,Below $50,Hong Kong Style,Bakery,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.181636,22.3314175,9336-4042
225,Tai King Restaurant,"G/F, Tai King Industrial Building,102 King Fuk Street,, San Po Kong",Below $50,Hong Kong Style,Fast Food,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1996535,22.334763,9137-2894
226,Siu Shun Village Cuisine,"G/F, Stelux House, 698 Prince Edward Road East, San Po Kong",$101-$200,Guangdong,Drivers Friendly Dining,,,San Po Kong,300,Hong Kong,Wong Tai Sin,114.1982345,22.334224,5655-2000
227,Unforgetable Co,"Shop 12, G/F, New Tech Plaza, 34 Tai Yau Street,, San Po Kong",Below $50,Hong Kong Style,Noodles/Rice Noodles,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.197206,22.336706,6507-0720
228,Lucky Bakery House,"Shop 7, G/F, Hong Keung Mansion, 32-34 Hong Keung, San Po Kong",Below $50,Hong Kong Style,Bakery,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1989259,22.3364426,4859-7028
229,Pine Himuro,"Shop 17, G/F, Hong Keung Mansion, 32 Hong Keung Street, San Po Kong",Below $50,Hong Kong Style,Coffee Shop,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.196341,22.334789,2772-8438
